strain,plate,CI
N2,a,0.91111111
N2,b,0.92857143
N2,c,0.90277778
JT6924,d,0.48333333
JT6924,e,0.12941176
JT6924,f,0.08108108
JT204,g,0.96407186
JT204,h,0.93181818
JT204,i,0.97385621
CB1124,j,0.22758621
CB1124,k,0.34065934
CB1124,l,0.30973451
